,title,date,stock
0,Stocks That Hit 52-Week Highs On Friday,2020-06-05 10:30:00-04:00,A
1,Stocks That Hit 52-Week Highs On Wednesday,2020-06-03 10:45:00-04:00,A
2,71 Biggest Movers From Friday,2020-05-26 04:30:00-04:00,A
3,46 Stocks Moving In Friday's Mid-Day Session,2020-05-22 12:45:00-04:00,A
4,"B of A Securities Maintains Neutral on Agilent Technologies, Raises Price Target to $88",2020-05-22 11:38:00-04:00,A
5,"CFRA Maintains Hold on Agilent Technologies, Lowers Price Target to $85",2020-05-22 11:23:00-04:00,A
6,"UBS Maintains Neutral on Agilent Technologies, Raises Price Target to $87",2020-05-22 09:36:00-04:00,A
7,Agilent Technologies shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,2020-05-22 09:07:00-04:00,A
8,"Wells Fargo Maintains Overweight on Agilent Technologies, Raises Price Target to $95",2020-05-22 08:37:00-04:00,A
9,10 Biggest Price Target Changes For Friday,2020-05-22 08:06:00-04:00,A
10,30 Stocks Moving in Friday's Pre-Market Session,2020-05-22 07:18:00-04:00,A
11,"SVB Leerink Maintains Outperform on Agilent Technologies, Raises Price Target to $95",2020-05-22 05:14:00-04:00,A
12,8 Stocks Moving In Thursday's After-Hours Session,2020-05-21 16:53:00-04:00,A
13,Agilent Technologies shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,2020-05-21 16:21:00-04:00,A
14,"Agilent Technologies Q2 Adj. EPS $0.71 Beats $0.61 Estimate, Sales $1.24B Beat $1.21B Estimate",2020-05-21 16:06:00-04:00,A
15,"Earnings Scheduled For May 21, 2020",2020-05-21 04:14:00-04:00,A
16,Agilent Technologies Receives FDA Approval for PD-L1 as a Companion Diagnostic,2020-05-18 08:10:00-04:00,A
17,"Q1 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",2020-05-16 10:15:00-04:00,A
18,"Pershing Square 13F Shows Fund Raises Stake In Agilent Technologies To 12,626,593 Shares",2020-05-15 16:39:00-04:00,A
19,How Bill Ackman Successfully Navigated Coronavirus Market Volatility,2020-05-08 09:51:00-04:00,A
20,Shares of several healthcare companies are trading higher amid positive investor sentiment as some US states begin to reopen their economies and as oil prices gain for the session.,2020-05-05 12:44:00-04:00,A
21,Shares of several healthcare companies are trading lower as markets dip following recent strength. Markets have sold off as investors weigh recent earnings and amid concerns of renewed US-China trade frictions.,2020-05-01 12:35:00-04:00,A
22,"UBS Maintains Neutral on Agilent Technologies, Lowers Price Target to $84",2020-04-28 11:26:00-04:00,A
23,Agilent Reports FDA Approval For PD-L1 Companion Diagnostic On Dako Omni,2020-04-23 08:05:00-04:00,A
24,Agilent Reports Has Become Top-Level Sponsor Of My Green Lab,2020-04-22 08:15:00-04:00,A
25,Agilent Withdraws Q2 And FY20 Guidance,2020-04-14 08:12:00-04:00,A
26,"Shares of several companies in the auto dealer space are trading higher amid positive market sentiment. Speculation some coronavirus hotspots leveling off has raised hopes of a return to economic activity, which could mean a rebound in consumer spending.",2020-04-08 14:01:00-04:00,A
27,Shares of several healthcare companies are trading higher as markets gain amid optimism that coronavirus cases in several US hotspots may be peaking. A sooner peak could mean a sooner return to economic activity.,2020-04-06 09:42:00-04:00,A
28,"Stifel Maintains Hold on Agilent Technologies, Lowers Price Target to $73",2020-04-02 10:47:00-04:00,A
29,Shares of several healthcare companies are trading lower amid market weakness as growing coronavirus concerns in the US weigh on equities.,2020-04-01 09:20:00-04:00,A
30,"Int'l. Air Transport Authority Chief Economist Sees Consolidation In Airline Sector As Some Airlines Fail, Calls Signs In Chinese Domestic Market 'Encouraging,' Load Factors Are About 60%",2020-03-31 08:55:00-04:00,A
31,"Wells Fargo Maintains Overweight on Agilent Technologies, Lowers Price Target to $82",2020-03-30 10:30:00-04:00,A
32,Shares of several technology companies are trading higher as equities continue to rise following last week's rebound amid US stimulus measures.,2020-03-30 10:23:00-04:00,A
33,"Shares of several healthcare companies are trading lower, selling off from this week's strength. While the US stimulus package boosted economic optimism, demand concerns still exist amid the coronavirus outbreak.",2020-03-27 10:58:00-04:00,A
34,"Shares of several healthcare companies are trading higher following Senate passage of a $2 trillion economic stimulus package, which has lifted stocks across sectors.",2020-03-26 11:49:00-04:00,A
35,"Barclays Maintains Equal-Weight on Agilent Technologies, Lowers Price Target to $76",2020-03-26 10:37:00-04:00,A
36,Ariel Chairman John Rogers Thinks Current Market Is 'Once In A Lifetime Opportunity To Buy Stocks',2020-03-26 05:59:00-04:00,A
37,"Citigroup Maintains Neutral on Agilent Technologies, Lowers Price Target to $75",2020-03-20 08:52:00-04:00,A
38,Stocks That Hit 52-Week Lows On Monday,2020-03-16 11:51:00-04:00,A
39,Shares of several healthcare companies are trading lower in sympathy with the overall market on continued downward momentum caused by the coronavirus. The virus has had a negative impact on the global economy.,2020-03-16 09:40:00-04:00,A
40,"Shares of several basic materials companies are trading higher, rebounding following Thursday's crash. The sector has been volatile amid the coronavirus outbreak, which has disrupted economic activity. NOTE: While markets rebound, virus fears persist.",2020-03-13 08:28:00-04:00,A
41,Stocks That Hit 52-Week Lows On Thursday,2020-03-12 12:10:00-04:00,A
42,"Shares of several coronavirus-related companies including vaccine makers, protective apparel manufacturers and emergency medical suppliers are trading higher as the coronavirus continues to spread globally.",2020-03-11 11:51:00-04:00,A
43,"Agilent Technologies Inc Says In January 2020, Net Revenue Was Negatively Impacted Due To The Public Health Crisis In China; Says In Jan 2020, Net Revenue Negatively Impacted Also Due To Extension Of Lunar New Year Resulting In Fewer Selling Days In Month",2020-03-03 16:18:00-05:00,A
44,Shares of several healthcare companies are trading higher in sympathy with the overall market as it rebounds from a selloff caused by coronavirus fears.,2020-03-02 11:18:00-05:00,A
45,"Benzinga's Top Upgrades, Downgrades For February 24, 2020",2020-02-24 09:46:00-05:00,A
46,Shares of several software companies are trading lower as the coronavirus cases surge outside of China. NOTE: The virus has raised fear of a global economic slowdown.,2020-02-24 07:53:00-05:00,A
47,"Needham Downgrades Agilent Technologies to Hold, Announces $85 Price Target",2020-02-24 05:44:00-05:00,A
48,"UBS Maintains Neutral on Agilent Technologies, Raises Price Target to $90",2020-02-19 07:43:00-05:00,A
49,12 Stocks Moving In Tuesday's After-Hours Session,2020-02-18 16:59:00-05:00,A
50,Agilent Technologies shares are trading lower after the company reported Q1 earnings.,2020-02-18 16:10:00-05:00,A
51,"Agilent Reaffirms FY20 Guidance: Adj. EPS $3.38-$3.43 vs $3.42 Estimate, Sales $5.5B-$5.55B vs $5.54B Est.",2020-02-18 16:07:00-05:00,A
52,"Agilent Technologies Q1 EPS $0.81, Inline, Sales $1.36B Up From $1.284B YoY",2020-02-18 16:06:00-05:00,A
53,"Q4 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",2020-02-18 13:00:00-05:00,A
54,"9 Stocks To Watch For February 18, 2020",2020-02-18 04:42:00-05:00,A
55,"Earnings Scheduled For February 18, 2020",2020-02-18 04:23:00-05:00,A
56,Pershing Square 13F Shows Raised Stake In Agilent By 11.4% To 3.25M Shares,2020-02-14 16:28:00-05:00,A
57,Twist Bioscience Reports Settlement Deal With Agilent; Co. Will Pay Agilent $22.5M,2020-02-06 16:28:00-05:00,A
58,Cowen Says Views Potential Twist-Agilent Settlement As 'a likely clearing event for additional investment in TWST',2020-02-06 13:51:00-05:00,A
59,Pershing Square Sees 'Substantial Opportunity' For Improvement In Agilent's A.N Business Performance,2020-02-05 12:41:00-05:00,A
60,Agilent shares are trading lower. Not seeing any news to justify the price action.,2020-01-30 10:28:00-05:00,A
61,Stocks That Hit 52-Week Highs On Wednesday,2020-01-22 10:17:00-05:00,A
62,Stocks That Hit 52-Week Highs On Friday,2020-01-17 13:23:00-05:00,A
63,Stocks That Hit 52-Week Highs On Thursday,2020-01-16 10:22:00-05:00,A
64,Stocks That Hit 52-Week Highs On Wednesday,2020-01-15 13:14:00-05:00,A
65,Stocks That Hit 52-Week Highs On Friday,2020-01-10 12:18:00-05:00,A
66,Stocks That Hit 52-Week Highs On Thursday,2020-01-09 15:15:00-05:00,A
67,"Wells Fargo Initiates Coverage On Agilent Technologies with Overweight Rating, Announces $100 Price Target",2020-01-08 07:09:00-05:00,A
68,"Citigroup Initiates Coverage On Agilent Technologies with Neutral Rating, Announces $85 Price Target",2020-01-07 06:59:00-05:00,A
69,"Benzinga's Top Upgrades, Downgrades For January 3, 2020",2020-01-03 11:33:00-05:00,A
70,Stocks That Hit 52-Week Highs On Friday,2019-12-27 11:27:00-05:00,A
71,Stocks That Hit 52-Week Highs On Monday,2019-12-23 10:20:00-05:00,A
72,Stocks That Hit 52-Week Highs On Friday,2019-12-20 11:59:00-05:00,A
73,Stocks That Hit 52-Week Highs On Thursday,2019-12-12 10:21:00-05:00,A
74,There's A New Trading Tool That Allows Traders To Trade Cannabis With Leverage,2019-12-11 09:47:00-05:00,A
75,Stocks That Hit 52-Week Highs On Tuesday,2019-12-10 14:27:00-05:00,A
76,PreMarket Prep Recap: Yo-Yo Market And After-Hours Overshoot On Ackman's New Stake,2019-12-10 12:58:00-05:00,A
77,41 Healthcare Stocks Moving In Tuesday's Pre-Market Session,2019-12-10 08:10:00-05:00,A
78,UPDATE: Bill Ackman's Pershing Square Files Amended 13F Showing New ~2.916M Share Stake In Agilent,2019-12-09 16:12:00-05:00,A
79,Hearing Pershing Square Reports 2.9M Share Stake In Agilent,2019-12-09 16:09:00-05:00,A
80,Stocks That Hit 52-Week Highs On Friday,2019-12-06 10:33:00-05:00,A
81,"UBS Maintains Neutral on Agilent Technologies, Raises Price Target to $87",2019-11-26 07:58:00-05:00,A
82,Aligent shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,2019-11-25 16:09:00-05:00,A
83,"Agilent Sees FY20 Adj. EPS $3.38-$3.43 vs $3.44 Estimate, Sales $5.5B-$5.55B vs $5.55B Est.",2019-11-25 16:08:00-05:00,A
84,"Agilent Sees Q1 Adj. EPS $0.80-$0.81 vs $0.84 Estimate, Sales $1.34B-$1.355B vs $1.38B Est.",2019-11-25 16:08:00-05:00,A
85,"Agilent Technologies Q4 Adj. EPS $0.89 Beats $0.85 Estimate, Sales $1.37B Beat $1.33B Estimate",2019-11-25 16:08:00-05:00,A
86,"7 Stocks To Watch For November 25, 2019",2019-11-25 05:49:00-05:00,A
87,"Earnings Scheduled For November 25, 2019",2019-11-25 05:38:00-05:00,A
88,Agilent Raises Qtr. Dividend From $0.164 To $0.18/Share,2019-11-20 16:05:00-05:00,A
89,"Benzinga's Top Upgrades, Downgrades For November 15, 2019",2019-11-15 09:59:00-05:00,A
90,"Stifel Nicolaus Initiates Coverage On Agilent Technologies with Hold Rating, Announces $85 Price Target",2019-11-15 06:02:00-05:00,A
91,"Benzinga's Top Upgrades, Downgrades For October 18, 2019",2019-10-18 09:53:00-04:00,A
92,A Peek Into The Markets: US Stock Futures Edge Higher Ahead Of Fed Speakers,2019-10-18 08:06:00-04:00,A
93,"UBS Downgrades Agilent Technologies to Neutral, Announces $82 Price Target",2019-10-18 07:57:00-04:00,A
